Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1181792431739752448,"#traficogt la Roosevelt esta de la gran puta. Choques hacia mixco. Choques hacia tikal futura.

MATENME POR LA GRAN PUTAAAA ARZU LA PUTA QUE TE PARIO
AMILCAR MONTEJO TU MADRE",Josep2270,josep2270,Wed Oct 09 04:44:07 +0000 2019,0,24,Spanish,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,1,0
1181796531730558976,"Después del trabajo, con hambre y en el #TraficoGT viendo al vendedor de papalina. https://t.co/saOXGNazR4",Gabriela Búcaro,gnbucaro,Wed Oct 09 05:00:24 +0000 2019,0,10,Spanish,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,0,1,0
1181799033850998784,"Después del trabajo, con hambre y en el #TraficoGT viendo al vendedor de papalina. https://t.co/saOXGNazR4",??g???,aaaaalfaro_,Wed Oct 09 05:10:21 +0000 2019,0,10,Spanish,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,0,1,0
1181800495343706113,"?? Aviso Importante ??

#GuatemalaValeLaPena
#MuniGuate
#Prevención 
#PlanAVE
#TransitoGT
#TraficoGT
@MuniGuate
@COPEM_Plan_AVE
@AlcaldeQuinonez https://t.co/aA1bgKMoJ1",Francisco,Francis96667771,Wed Oct 09 05:16:09 +0000 2019,0,54,Spanish,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,0,6,3
1181801067329273856,"?? Aviso Importante ??

#GuatemalaValeLaPena
#MuniGuate
#Prevención 
#PlanAVE
#TransitoGT
#TraficoGT
@MuniGuate
@COPEM_Plan_AVE
@AlcaldeQuinonez https://t.co/aA1bgKMoJ1",marvin oliva,marvinoliva15,Wed Oct 09 05:18:25 +0000 2019,0,54,Spanish,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,0,6,3
1181801989010788357,"#URGENTE | Calles inundadas en bulevar El Naranjo, por el sector de Bosques de San Nicolás en Mixco, reporta la @ConredGuatemala. #ClimaGT. #TráficoGT. https://t.co/Ss6Nk8lpCy",Yeti,Tantzstanze83,Wed Oct 09 05:22:05 +0000 2019,0,61,Spanish,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,0,3,1
1181804736460283904,"?? Aviso Importante ??

#GuatemalaValeLaPena
#MuniGuate
#Prevención 
#PlanAVE
#TransitoGT
#TraficoGT
@MuniGuate
@COPEM_Plan_AVE
@AlcaldeQuinonez https://t.co/aA1bgKMoJ1",Karla Beteta,KarlaBeteta,Wed Oct 09 05:33:00 +0000 2019,0,54,Spanish,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,Photo,0,6,3
1181807836134825984,"Mt.6:34: Así que, no os afanéis por el día de mañana, porque cada día traerá su afán Hasta mañana con mas información sobre el #traficogt. Que descansen.",NotiRumbos Guatemala,Notirumbosgt,Wed Oct 09 05:45:19 +0000 2019,0,0,Spanish,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Tweet,,0,1,0
1181808808454184961,"?? Aviso Importante ??

#GuatemalaValeLaPena
#MuniGuate
#Prevención 
#PlanAVE
#TransitoGT
#TraficoGT
@MuniGuate
@COPEM_Plan_AVE
@AlcaldeQuinonez https://t.co/aA1bgKMoJ1",C@RED,CAREDPZ1,Wed Oct 09 05:49:11 +0000 2019,0,54,Spanish,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,0,6,3
1181821909719293952,"#URGENTE | Calles inundadas en bulevar El Naranjo, por el sector de Bosques de San Nicolás en Mixco, reporta la @ConredGuatemala. #ClimaGT. #TráficoGT. https://t.co/Ss6Nk8lpCy",Eduany,Eduany45899431,Wed Oct 09 06:41:15 +0000 2019,0,61,Spanish,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,0,3,1
